center_name,road_address,lot_address,lat,lon,vehicle_count,vehicle_type,reservation_phone,reservation_url,app_service_name,inside_area,outside_area,use_target,use_charge,manager_name,manager_phone,reference_date,provider_name,is_seoul_or_capital_area_related
안산시 교통약자이동지원센터(하모니콜),경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,37.31947602,126.8164939,60,카니발,1666-0420,https://ggsts.gg.go.kr/,경기도 교통약자 광역이동지원센터,안산시,서울+인천+경기도,보행상중증장애인+일시적휠체어이용자,기본 1700원(10km)+추가 100원(5km),안산도시공사,031-8085-7497,2026-04-08,경기도 안산시,True
평택시 교통약자이동지원센터,경기도 평택시 도일유통길 25,경기도 평택시 도일동 1169-5,37.038605,127.100693,55,카니발,031-651-4700,http://ggsts.gg.go.kr,경기도광역이동지원시스템,평택시 전지역,서울+경기+인천+인접지역(천안+아산),「교통약자의 이동편의 증진법 시행규칙」제6조제1항에 따른 중증보행장애인+대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자,기본요금 10km까지 1700원+추가 5km당 100원+고속도로(유료도로) 통행료 무료+유료주차요금 이용자 부담,평택도시공사,031-8053-1552,2026-03-03,경기도 평택시,True
강릉시교통약자이동지원센터,강원특별자치도 강릉시 원대로26번길 31,강원특별자치도 강릉시 교동 934-1,37.758547,128.8846696,33,카니발+쏠라티,1577-2014,http://call.gwd.go.kr,강원 교통약자 광역이동지원센터,강릉시 전지역,강원특별자치도 전지역+서울특별시,중증보행장애인+휠체어 이용자+교통약자를 동반하는 가족 및 보호자,"기본 4㎞ 이내 기본요금 1100원 외 1Km당 100원 추가+시설이용료(통행료,주차료등)와 대기료(1시간 무료,30분당 2000원, 최대 4시간 대기가능)은 이용자 추가 부담",(사)한국지체장애인협회 강릉시지회,033-644-9331,2026-02-25,강원특별자치도 강릉시,True
여주시 교통약자이동지원센터,"경기도 여주시 여흥로160번길 20, 여흥동공영주차장 1층",경기도 여주시 상동 357,37.29460883,127.6403935,24,카니발+스타렉스+스타리아+아이오닉,1522-2796,해당없음,없음,여주시 전지역,서울특별시+경기도+인천광역시+음성군+충주시+원주시,장애인+임산부 및 영유아 동반+일시적으로 휠체어를 이용하는 사람 중 대중교통 이용이 어려운 사람+교통약자를 동반하는 가족 및 보호자+그밖에 특별교통수단이 필요하다고 인정하는 사람,관내 1500원(정액제)+관외(10km 이내 기본 1500원 초과 요금 5Km당 100원)+고속도로 통행료(기초생활수급자 통행료 지원)ㆍ주차료 이용자 부담+기초생활수급자 50퍼센트 할인+시계외 및 심야시간(0시~4시) 20퍼센트 할증,경기도 여주시청,031-887-2720,2026-01-12,경기도 여주시,True
광주희망콜,경기도 광주시 청석로 73,경기도 광주시 양벌동 38-1,37.39518533,127.2582841,51,카니발+니로,1666-6636,http://www.gjhpcall.or.kr,광주시 교통약자,광주시 전지역,광역(서울시+인천시+경기도),중증보행장애인 + 휠체어 이용자 + 65세이상 노인.임산부 등 대중교통이 어려운 사람,"10km이내 1500원 + 추가 5km당 100원 + 기타(통행료,주차비 등)",경기도 광주시청,031-760-2076,2026-01-28,경기도 광주시,True
