facility_kind,facility_id,pole_id,direction_degrees,install_date,replace_date,projected_x,projected_y,state_code,display_code,work_code,source_coordinate_system
pedestrian_push_button,29-0000000070,02-0000086546,90.0,,,202458.99268,561779.87013,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000069,02-0000086569,90.0,,,202453.52943,561913.86107,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000069,02-0000086569,0.0,,,202452.95884,561919.65978,1.0,1,4,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000870,02-0000080246,90.0,,,207080.7794,552759.61536,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000042,02-0000086590,0.0,,,201657.4364,561978.86894,1.0,1,4,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000561,02-0000080246,-45.0,,,207080.7794,552759.61536,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000001098,02-0000176311,180.0,20130403.0,20130403.0,199380.68614,550021.48372,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000867,02-0000080246,90.0,,,207080.7794,552759.61536,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000868,02-0000080248,90.0,,,207085.85412,552747.7224,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000562,02-0000080248,90.0,,,207085.85412,552747.7224,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000878,02-0000080248,90.0,,,207085.85412,552747.7224,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000562,02-0000080248,90.0,,,207085.85412,552747.7224,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000872,02-0000080249,90.0,,,207085.61014,552735.63637,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000563,02-0000080249,90.0,,,207085.61014,552735.63637,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000879,02-0000080249,90.0,,,207085.61014,552735.63637,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000563,02-0000080249,90.0,,,207085.61014,552735.63637,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000866,02-0000080250,90.0,,,207057.53485,552756.64403,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000560,02-0000080250,90.0,,,207057.53485,552756.64403,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000869,02-0000080250,90.0,,,207057.53485,552756.64403,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000560,02-0000080250,90.0,,,207057.53485,552756.64403,1.0,1,2,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000582,02-0000081207,90.0,,,208708.48148,556509.76003,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000580,02-0000081325,90.0,,,207190.15356,553544.99241,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000581,02-0000081334,90.0,,,207177.76194,553518.7488,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000123,02-0000081426,90.0,,,207274.11661,553357.99521,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000002089,02-0000215130,,20211030.0,20211030.0,,,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000587,02-0000082179,90.0,,,208562.03195,556448.36497,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000394,02-0000082230,90.0,,,205545.30598,557883.07468,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000395,02-0000082269,90.0,,,205561.11888,557900.20454,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000894,02-0000082269,90.0,,,205559.07974,557903.92344,1.0,1,3,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000485,02-0000082505,90.0,,,201373.19265,557440.11184,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000486,02-0000082506,90.0,,,201381.05692,557438.23435,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000799,02-0000118505,90.0,,,198273.26414,550569.52746,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000334,02-0000118684,90.0,,,191894.92301,544045.4808,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000335,02-0000118685,90.0,,,191914.70648,544041.42025,1.0,2,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000370,02-0000119399,90.0,,,199026.26948,539774.54976,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000371,02-0000119401,90.0,,,199052.3346,539795.57057,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000148,02-0000119473,270.0,20100601.0,,212448.63697,545553.14138,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000147,02-0000119474,90.0,20100601.0,,212430.1432,545570.59651,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000273,02-0000119502,90.0,,,193967.66197,555752.5891,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000100,02-0000119855,0.0,,,196337.41274,543968.84179,1.0,1,4,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000100,02-0000119855,90.0,,,196339.33323,543964.8828,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000102,02-0000119857,0.0,,,196392.1247,543958.28584,1.0,1,4,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000102,02-0000119857,90.0,,,196394.04382,543954.20651,1.0,1,1,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000103,02-0000119858,0.0,,,196396.58998,543940.61601,1.0,1,4,seoul_projected_xy_unconverted
pedestrian_push_button,29-0000000103,02-0000119858,90.0,,,196395.56981,543937.01572,1.0,1,1,seoul_projected_xy_unconverted
