facility_kind,facility_id,pole_id,direction_degrees,install_date,replace_date,projected_x,projected_y,state_code,display_code,work_code,source_coordinate_system
audio_signal,24-0000016641,02-0000203717,,20200430,20200430,215932.18836,551663.43634,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000016640,02-0000203716,,20200430,20200430,215920.37586,551648.31134,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000016639,02-0000203715,,20200430,20200430,215931.06336,551625.93634,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000018774,02-0000181019,,20210803,20210803,184094.351,552933.06093,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000008084,02-0000172801,180.0,20181231,20181231,216020.03996,551368.43106,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000008082,02-0000172800,180.0,20181231,20181231,216039.85004,551340.77416,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000013146,02-0000196052,180.0,,,209657.10531,541628.03179,1.0,1,1,seoul_projected_xy_unconverted
audio_signal,24-0000013166,02-0000061218,180.0,,,197437.5125,548853.66249,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012788,02-0000132060,180.0,20170623,20170623,208977.73721,545332.51434,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012786,02-0000195035,180.0,20170623,20161123,208909.34148,545295.81753,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005590,02-0000084859,180.0,20221231,20221231,205331.40709,561613.11166,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005821,02-0000159323,180.0,20091123,20141002,198537.98043,544184.55203,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000007217,02-0000137601,180.0,20140719,20220620,192944.81069,544319.32921,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000009358,02-0000157130,180.0,20000101,20141115,200428.35855,545173.4665,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000011391,02-0000132270,0.0,20140813,20140813,194983.35,544216.88124,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000016627,02-0000203675,,20180425,20180425,208211.9125,549950.76874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000016626,02-0000047384,,20180425,20180425,208230.4875,549958.83124,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000016625,02-0000057818,,20180425,20180425,208187.8369,549980.04482,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000011134,02-0000157434,0.0,20150120,,189862.1175,541875.58294,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000010364,02-0000157075,180.0,20140603,20150120,195023.425,543603.89374,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000006648,02-0000131591,0.0,20000101,20150120,194642.4625,542968.04999,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000016624,02-0000203674,,20180425,20180425,208188.94798,549955.96131,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000002524,02-0000033916,180.0,20070601,20141105,202190.53101,545026.14748,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000010926,02-0000179849,0.0,20141105,20141105,201882.45627,544876.3997,1.0,1,6,seoul_projected_xy_unconverted
audio_signal,24-0000016623,02-0000203673,,20180425,20180425,208179.45164,549942.05978,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000010934,02-0000169466,0.0,20141215,20160510,195274.7125,542625.60624,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000000245,02-0000220720,180.0,20221231,20221231,205337.82375,561610.25663,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000002275,02-0000018432,180.0,20141115,20141115,202627.62742,542756.03831,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000016622,02-0000047385,,20180425,20180425,208215.15,549926.80624,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000007990,02-0000084856,0.0,20221231,20221231,205362.375,561614.88125,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000010875,02-0000050834,180.0,20140920,20140920,205990.8375,548212.15624,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000021365,02-0000203568,,,,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000021366,02-0000203567,,,,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000007980,02-0000172385,270.0,20120331,20151001,203461.525,561903.14375,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000005951,02-0000087827,180.0,20090819,20151101,204103.53901,561324.58769,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000016398,02-0000171554,,20180425,20180425,208031.75,550100.80624,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005294,02-0000083502,180.0,20080101,20151125,205757.82938,559694.68592,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000012683,02-0000057885,180.0,20180425,20180425,208049.9375,550085.01249,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006724,02-0000038880,180.0,20101020,20101020,205146.60085,546061.57109,1.0,1,6,seoul_projected_xy_unconverted
audio_signal,24-0000001362,02-0000039526,180.0,20161209,20161209,204520.3,544585.06874,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000000672,02-0000016638,180.0,20160424,20160424,212578.5375,544606.74374,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000015085,02-0000180696,180.0,20171101,20171101,212786.0076,549678.81861,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000011617,02-0000198807,0.0,20150701,20150701,211239.45302,541298.52162,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000007511,02-0000159966,180.0,20111110,20181123,211162.1,542244.05624,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006993,02-0000106090,180.0,20181123,20181123,210856.90635,542976.62973,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015038,02-0000198800,180.0,20181123,20181123,210855.66156,542944.52025,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006795,02-0000008127,180.0,20141202,20220801,194265.79837,556031.05298,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000003004,02-0000068322,180.0,20151026,20180524,186806.35957,547197.92522,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015028,02-0000021061,180.0,20180601,20180601,194254.68633,541302.54468,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000019617,02-0000180768,,20220901,20220901,195900.79372,550559.3888,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015059,02-0000050274,180.0,20181123,20181123,196804.03577,549485.27724,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015069,02-0000174531,180.0,20181123,20181123,192488.73083,554719.73464,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015064,02-0000193893,180.0,20181123,20181123,195856.17075,549152.00647,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005064,02-0000152533,180.0,20151210,20230101,194076.23825,557370.21539,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000016718,02-0000001539,,,,204197.24196,554109.95624,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006778,02-0000011314,180.0,20171115,20251015,193706.39568,556953.66117,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000009913,02-0000008631,180.0,20130715,20251015,193745.1592,556848.86845,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006759,02-0000036160,180.0,20080101,20180720,192908.77393,558189.86559,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015152,02-0000004325,,20181121,20230101,193835.55863,549576.14478,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000024343,02-0000008627,,20180720,20251015,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015124,02-0000199173,180.0,,,210215.14803,541612.33137,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015157,02-0000104443,,20181121,20230101,193832.63168,549558.12554,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015023,02-0000148317,180.0,,,202120.36783,551249.5774,1.0,1,1,seoul_projected_xy_unconverted
audio_signal,24-0000008154,02-0000162389,180.0,20181015,20181015,215449.4125,551711.36249,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000008060,02-0000162390,180.0,20181015,20181015,215467.9125,551742.79999,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006781,02-0000008627,180.0,20180720,20251015,193692.17048,556946.70573,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006838,02-0000152581,180.0,20140520,20180424,190272.50219,539795.74084,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006779,02-0000105012,180.0,20251015,20251015,193680.9788,556946.80641,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015010,02-0000198661,180.0,20170929,20170929,213666.45,551468.89374,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015006,02-0000195125,180.0,20170929,20170929,213329.80082,551376.00377,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015001,02-0000046777,180.0,20170929,20170929,212729.1625,551065.23124,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000014996,02-0000198354,180.0,20170929,20170929,212082.5375,550829.36874,1.0,1,1,seoul_projected_xy_unconverted
audio_signal,24-0000024214,02-0000227397,,20251208,20251208,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015082,02-0000174244,180.0,20170930,20170930,213565.425,549008.83749,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000006994,02-0000096367,180.0,20181123,20181123,210863.58395,542963.91754,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005174,02-0000106626,180.0,20120319,20181121,193393.25331,543365.28223,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000015076,02-0000198945,180.0,20181121,20181121,193300.28243,543432.21196,1.0,2,1,seoul_projected_xy_unconverted
