hotspot_fid,hotspot_id,source_year,legal_dong_code,site_code,district,place_name,display_name,accidents,casualties,deaths,serious_injuries,minor_injuries,reported_injuries,center_lng,center_lat,risk_score,risk_score_norm,risk_percentile,risk_level,risk_level_ko
6778989,2022040,2022,1123010900,11230005,서울특별시 동대문구5,서울특별시 동대문구 휘경동(위생병원앞교차로 부근),서울 동대문구 휘경동(위생병원앞교차로 부근),8,8,1,7,0,0,127.062389798651,37.590042937932,46.0,0.1467,0.7722,medium,주의
6779579,2022040,2022,1123010600,11230006,서울특별시 동대문구6,서울특별시 동대문구 장안동(장안APT 부근),서울 동대문구 장안동(장안APT 부근),7,7,1,6,0,0,127.074497769757,37.572240520784,41.0,0.08,0.6361,medium,주의
6779580,2022040,2022,1123010200,11230007,서울특별시 동대문구7,서울특별시 동대문구 용두동(용신동주민센터 부근),서울 동대문구 용두동(용신동주민센터 부근),7,7,1,6,0,0,127.037329219469,37.576246899776,41.0,0.08,0.6361,medium,주의
6779301,2022040,2022,1123010600,11230008,서울특별시 동대문구8,서울특별시 동대문구 장안동(장안동우리은행 부근),서울 동대문구 장안동(장안동우리은행 부근),7,9,0,8,1,0,127.067287899518,37.565724598013,40.0,0.0667,0.5282,medium,주의
6779549,2022040,2022,1123010700,11230009,서울특별시 동대문구9,서울특별시 동대문구 청량리동(영휘원사거리 부근),서울 동대문구 청량리동(영휘원사거리 부근),7,9,0,8,0,1,127.042249158573,37.586541433841,39.5,0.06,0.433,medium,주의
6779138,2022040,2022,1123010900,11230010,서울특별시 동대문구10,서울특별시 동대문구 휘경동(중랑교사거리 부근),서울 동대문구 휘경동(중랑교사거리 부근),7,9,0,7,2,0,127.067138692997,37.591502603264,37.0,0.0267,0.3891,low,관심
6779257,2022040,2022,1123010400,11230011,서울특별시 동대문구11,서울특별시 동대문구 전농동(전농동29568 부근),서울 동대문구 전농동(전농동29568 부근),7,7,0,7,0,0,127.058155951437,37.578129386763,35.0,0.0,0.3196,low,관심
6779542,2022040,2022,1123010200,11230012,서울특별시 동대문구12,서울특별시 동대문구 용두동(서울시설공단 부근),서울 동대문구 용두동(서울시설공단 부근),7,7,0,7,0,0,127.038026516911,37.573365319055,35.0,0.0,0.3196,low,관심
6779063,2022040,2022,1123010600,11230013,서울특별시 동대문구13,서울특별시 동대문구 장안동(장안동46914 부근),서울 동대문구 장안동(장안동46914 부근),7,7,0,7,0,0,127.071330123687,37.571688251612,35.0,0.0,0.3196,low,관심
6779113,2022040,2022,1123010300,11230014,서울특별시 동대문구14,서울특별시 동대문구 제기동(용두교 부근),서울 동대문구 제기동(용두교 부근),7,7,0,7,0,0,127.03391946871,37.57821645013,35.0,0.0,0.3196,low,관심
6779512,2022040,2022,1123010300,11230015,서울특별시 동대문구15,서울특별시 동대문구 제기동(식당재료유통할인 부근),서울 동대문구 제기동(식당재료유통할인 부근),7,7,0,7,0,0,127.040008320529,37.582566799119,35.0,0.0,0.3196,low,관심
6779507,2022040,2022,1123010500,11230016,서울특별시 동대문구16,서울특별시 동대문구 답십리동(신답고가차도남측 부근),서울 동대문구 답십리동(신답고가차도남측 부근),7,7,0,7,0,0,127.050049712525,37.570166902681,35.0,0.0,0.3196,low,관심
6779095,2022040,2022,1123010900,11230017,서울특별시 동대문구17,서울특별시 동대문구 휘경동(백합빌딩 부근),서울 동대문구 휘경동(백합빌딩 부근),7,7,0,7,0,0,127.058769489621,37.589308383376,35.0,0.0,0.3196,low,관심
6779070,2022040,2022,1126010100,11260001,서울특별시 중랑구1,서울특별시 중랑구 면목동(면남초등교입구 부근),서울 중랑구 면목동(면남초등교입구 부근),8,9,0,8,1,0,127.086916447637,37.579134880971,41.0,0.08,0.6361,medium,주의
6779082,2022040,2022,1126010100,11260002,서울특별시 중랑구2,서울특별시 중랑구 면목동(면목역앞교차로 부근),서울 중랑구 면목동(면목역앞교차로 부근),7,9,1,6,1,1,127.087771767654,37.588331619809,42.5,0.1,0.6552,medium,주의
6778994,2022040,2022,1126010500,11260003,서울특별시 중랑구3,서울특별시 중랑구 망우동(LG전자스토어 부근),서울 중랑구 망우동(LG전자스토어 부근),7,7,1,6,0,0,127.09519359371,37.598272118664,41.0,0.08,0.6361,medium,주의
6779232,2022040,2022,1126010400,11260004,서울특별시 중랑구4,서울특별시 중랑구 묵동(묵동우체국 부근),서울 중랑구 묵동(묵동우체국 부근),7,8,0,8,0,0,127.077457604086,37.609566893099,39.0,0.0533,0.432,medium,주의
6779352,2022040,2022,1126010100,11260005,서울특별시 중랑구5,서울특별시 중랑구 면목동(면목2동사거리 부근),서울 중랑구 면목동(면목2동사거리 부근),7,7,0,7,0,0,127.078948235774,37.586317510745,35.0,0.0,0.3196,low,관심
6779314,2022040,2022,1126010200,11260006,서울특별시 중랑구6,서울특별시 중랑구 상봉동(우리은행중랑교지점 부근),서울 중랑구 상봉동(우리은행중랑교지점 부근),7,7,0,7,0,0,127.075281844582,37.593695416611,35.0,0.0,0.3196,low,관심
6779259,2022040,2022,1126010500,11260007,서울특별시 중랑구7,서울특별시 중랑구 망우동(우림시장앞교차로 부근),서울 중랑구 망우동(우림시장앞교차로 부근),7,7,0,7,0,0,127.099739306925,37.595583583716,35.0,0.0,0.3196,low,관심
6779313,2022040,2022,1126010100,11260008,서울특별시 중랑구8,서울특별시 중랑구 면목동(서울시체육회앞교차로 부근),서울 중랑구 면목동(서울시체육회앞교차로 부근),7,7,0,7,0,0,127.073252188039,37.592065672394,35.0,0.0,0.3196,low,관심
6779563,2022040,2022,1126010200,11260009,서울특별시 중랑구9,서울특별시 중랑구 상봉동(한일써너스빌103동 부근),서울 중랑구 상봉동(한일써너스빌103동 부근),7,7,0,7,0,0,127.090669281663,37.596994629,35.0,0.0,0.3196,low,관심
6779057,2022040,2022,1126010400,11260010,서울특별시 중랑구10,서울특별시 중랑구 묵동(극동늘푸른아파트 부근),서울 중랑구 묵동(극동늘푸른아파트 부근),7,7,0,7,0,0,127.076742060299,37.615873731588,35.0,0.0,0.3196,low,관심
6779114,2022040,2022,1126010500,11260011,서울특별시 중랑구11,서울특별시 중랑구 망우동(신내지하차도앞교차로 부근),서울 중랑구 망우동(신내지하차도앞교차로 부근),7,7,0,7,0,0,127.097456294274,37.598820664643,35.0,0.0,0.3196,low,관심
6779099,2022040,2022,1129013400,11290001,서울특별시 성북구1,서울특별시 성북구 길음동(길음역앞교차로 부근),서울 성북구 길음동(길음역앞교차로 부근),8,8,0,8,0,0,127.024922194105,37.603959042777,40.0,0.0667,0.5282,medium,주의
6779151,2022040,2022,1129011600,11290002,서울특별시 성북구2,서울특별시 성북구 동선동1가(성신여대입구역사거리 부근),서울 성북구 동선동1가(성신여대입구역사거리 부근),7,7,0,7,0,0,127.017968112639,37.593114724366,35.0,0.0,0.3196,low,관심
6779149,2022040,2022,1129013500,11290003,서울특별시 성북구3,서울특별시 성북구 종암동(종암사거리 부근),서울 성북구 종암동(종암사거리 부근),7,7,0,7,0,0,127.031950587451,37.603266052188,35.0,0.0,0.3196,low,관심
6779008,2022040,2022,1129013600,11290004,서울특별시 성북구4,서울특별시 성북구 하월곡동(성북트리즘빌딩앞교차 부근),서울 성북구 하월곡동(성북트리즘빌딩앞교차 부근),7,7,0,7,0,0,127.038299135598,37.602569983219,35.0,0.0,0.3196,low,관심
6779190,2022040,2022,1129013300,11290005,서울특별시 성북구5,서울특별시 성북구 정릉동(미진미싱 부근),서울 성북구 정릉동(미진미싱 부근),7,7,0,7,0,0,127.021084264428,37.601780308316,35.0,0.0,0.3196,low,관심
6779540,2022040,2022,1129013700,11290006,서울특별시 성북구6,서울특별시 성북구 상월곡동(부동산 부근),서울 성북구 상월곡동(부동산 부근),7,7,0,7,0,0,127.046881568231,37.607109963255,35.0,0.0,0.3196,low,관심
6779208,2022040,2022,1129013500,11290007,서울특별시 성북구7,서울특별시 성북구 종암동(속성변화점 부근),서울 성북구 종암동(속성변화점 부근),7,7,0,7,0,0,127.034018992184,37.598587251002,35.0,0.0,0.3196,low,관심
6778890,2022040,2022,1130510100,11305001,서울특별시 강북구1,서울특별시 강북구 미아동(미아삼거리역 부근),서울 강북구 미아동(미아삼거리역 부근),11,14,0,11,3,0,127.030757696112,37.612815543803,58.0,0.3067,0.9234,high,고위험
6778928,2022040,2022,1130510300,11305002,서울특별시 강북구2,서울특별시 강북구 수유동(강북구청사거리 부근),서울 강북구 수유동(강북구청사거리 부근),8,9,1,7,1,0,127.027416365774,37.639481858902,47.0,0.16,0.7893,medium,주의
6779229,2022040,2022,1130510200,11305003,서울특별시 강북구3,서울특별시 강북구 번동(강북구도봉구 부근),서울 강북구 번동(강북구도봉구 부근),7,8,1,7,0,0,127.02966843635,37.641834335187,45.0,0.1333,0.7283,medium,주의
